username,cheating,cpl_1,cpl_2,cpl_3,cpl_4,cpl_5,cpl_6,cpl_7,cpl_8,cpl_9,cpl_10,cpl_11,cpl_12,cpl_13,cpl_14,cpl_15,cpl_16,cpl_17,cpl_18,cpl_19,cpl_20
joses1,0,2.0,414.0,86.0,0.0,0.0,44.0,26.0,96.0,2.0,41.0,32.0,0.0,28.0,1.0,0.0,10.0,0.0,0.0,34.0,51.0
zringsalah,1,0.0,1.0,5.0,42.0,40.0,54.0,51.0,0.0,0.0,128.0,17.0,0.0,0.0,0.0,0.0,399.0,0.0,44.0,32.0,0.0
probisvet,1,1.0,0.0,0.0,31.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,15.0,0.0,22.0,0.0,0.0
katerini20,1,0.0,0.0,0.0,128.0,64.0,16.0,50.0,8.0,9.0,23.0,75.0,11.0,116.0,0.0,61.0,19.0,34.0,9.0,0.0,19.0
jaydeep,0,12.0,0.0,146.0,214.0,89.0,2.0,19.0,130.0,0.0,6.0,6.0,60.0,34.0,0.0,10.0,54.0,148.0,461.0,249.0,136.0
zivojin,0,6.0,3.0,24.0,2.0,5.0,17.0,24.0,8.0,94.0,0.0,5.0,9.0,0.0,3.0,3.0,33.0,24.0,34.0,17.0,67.0
adyali,0,19.0,27.0,72.0,0.0,168.0,29.0,23.0,44.0,6.0,40.0,39.0,54.0,9.0,5.0,0.0,0.0,52.0,28.0,16.0,500.0
dragonite156,1,141.0,33.0,103.0,5.0,244.0,122.0,46.0,41.0,12.0,36.0,90.0,5.0,29.0,79.0,30.0,3.0,0.0,149.0,0.0,45.0
sabdopalon,1,24.0,11.0,7.0,26.0,0.0,44.0,15.0,0.0,43.0,33.0,183.0,44.0,9.0,0.0,73.0,0.0,0.0,47.0,8.0,0.0
arjacka,1,0.0,0.0,0.0,216.0,421.0,3.0,0.0,116.0,15.0,0.0,17.0,122.0,0.0,24.0,39.0,158.0,15.0,454.0,409.0,500.0
mms1970,1,39.0,4.0,22.0,32.0,29.0,0.0,0.0,116.0,48.0,2.0,11.0,0.0,0.0,0.0,45.0,9.0,3.0,31.0,43.0,10.0
immortal4651,0,13.0,82.0,186.0,52.0,69.0,11.0,49.0,0.0,221.0,119.0,0.0,0.0,81.0,8.0,122.0,500.0,260.0,0.0,234.0,0.0
franciscoolivares,0,2.0,44.0,14.0,4.0,30.0,15.0,70.0,1.0,0.0,42.0,0.0,0.0,27.0,65.0,0.0,20.0,0.0,2.0,81.0,55.0
profz,0,8.0,11.0,0.0,81.0,13.0,120.0,0.0,171.0,4.0,110.0,62.0,174.0,435.0,119.0,127.0,99.0,0.0,50.0,20.0,78.0
chuky2000,1,0.0,83.0,0.0,19.0,28.0,32.0,21.0,26.0,0.0,0.0,40.0,0.0,78.0,44.0,7.0,34.0,10.0,2.0,0.0,0.0
jardy79,1,11.0,1.0,0.0,62.0,10.0,12.0,0.0,7.0,58.0,0.0,52.0,32.0,0.0,0.0,41.0,54.0,0.0,0.0,233.0,0.0
